Page Number,"Part of Speech, Declension, Gender, etc.",Latin,English,Special
7,"n, 1","glōria, glōriae","fame, glory",
7,"n, 1","Marīa, Marīae",Mary,
7,"n, 1","nauta, nautae",sailor,
7,"n, 1","porta, portae",gate,
7,"n, 1","silva, silvae",forest,
7,"n, 1","terra, terrae","earth, land",
7,"n, 1","victōria, victōriae",victory,
11,adv,nōn,not,
11,v,ōrant,pray (they),
11,v,ōrat,"prays (he, she, it)",
11,v,vident,see (they),
11,v,videt,"sees (he, she, it)",
14,v,laudant,praise (they),
14,v,laudat,"praises (he, she, it)",
14,"n, 1","prōvincia, ae",province,
17,"n, 2","amīcus, amīcī",friend,
17,"n, 2","Chrīstiānus, Chrīstiānī",Christian,
17,"n, 2","Chrīstus, Chrīstī",Christ,
17,"n, 2","Deus, Deī",God,
17,conj,et,and,
17,"n, 2","fīlius, fīliī",son,
17,"n, 2","servus, servī","slave, servant",
21,"n, 2","bellum, bellī",war,
21,"n, 2","caelum, caelī","sky, heaven",
21,"n, 2","imperium, imperiī","command, power, empire",
21,"n, 2","perīculum, perīculī",danger,
21,"n, 2, n","praemium, praemiī",reward,
21,"n, 2","rēgnum, rēgnī","kingdom, royal power",
23,v,dedērunt,gave (they),
23,v,dedit,"gave (he, she, it)",
23,"n, 2","gladius, ī",sword,
23,conj,sed,but,
25,prep w/ abl,cum,with,
25,"n, 1","Gallia, ae",Gaul (the place),
25,"n, 2","Gallus, ī",a Gaul,
25,"n, 2","oppidum, ī",town,
25,prep w/ acc,post,"after, behind",
25,prep w/ acc,propter,on account of,
25,"n, 1","Rōma, ae",Rome (the place),
25,"n, 2","Rōmānus, ī",a Roman,
28,v,"es, estis","are - you are, you (pl) are",
28,v,"est, sunt","are - he, she, it is; they are",
28,v,"sum, sumus","are - I am, we are",
31,v,incolunt,inhabit (they),
31,conj,itaque,"therefore, and so",
31,conj,quod,because,
31,v,vīcērunt,conquered (they),
31,v,vidētis,see (you pl),
36,"n, 3","dux, ducis",leader,
36,"n, 3","homō, hominis",man,
36,"n, 3","imperātor, imperātōris","commander in chief, general, emperor",
36,"n, 3","lēx, lēgis",law,
36,"n, 3","lūx, lūcis",light,
36,"n, 3","rēx, rēgis",king,
36,"n, 3","vēritās, vēritātis",truth,
39,v,audīvit,"heard (he, she, it)",
39,"n, 3","Caesar, Caesaris",Caesar,
39,"n, 3","salūs, salūtis","safety, welfare, salvation",
39,"n, 3","vōx, vōcis","voice, cry",
42,"n, 3","mīles, mīlitis",soldier,
42,v,mūnīvērunt,"fortified, constructed (they)",
42,"n, 3","pāx, pācis",peace,
42,"n, 3","populus, ī","people, nation",
42,"n, 1","via, ae","road, way",
42,"n, 3","virtūs, virtūtis","courage, virtue",
44,"n, 3","caedēs, caedis",slaughter,
44,,certē,certainly,
44,"n, 3, m","collis, collis",hill,
44,"n, 3, f","gēns, gentis",tribe,
44,"n, 3","hostis, hostis",enemy (in war),"Declined like pars; usually masculine, but could be feminine"
44,,ita,"thus, so (yes)",
44,,minimē,"least of all, by no means",
44,"n, 3","pars, partis",part,
47,"n, 3","clāmor, clāmōris","shouting, shout",
47,"n, 3","frāter, frātris (frātrum)",brother,
47,"n, 3","māter, mātris (mātrum)",mother,
47,"n, 3, m","mōns, montis",mountain,
47,v,occīdērunt,killed (they),
47,"n, 3","pater, patris (patrum)",father,
47,"n, 3","prīnceps, prīncipis","chief, leading man",
51,"n, 3","agmen, agminis","column (of soldiers), army (on the march)",
51,"n, 3, n","corpus, corporis",body,
51,"n, 3, n","flūmen, flūminis",river,
51,"n, 3, n","iter, itineris","journey, march, route",
51,"n, 3, n","nōmen, nōminis",name,
51,"n, 3, n","vulnus, vulneris",wound,
53,v,erant,were (they); there were,
53,v,erat,"was (he, she, it); there was",
53,"n, 2","mundus, ī",world,
56,"n, 4","adventus, ūs","arrival, coming",
56,"n, 4","equitātus, ūs",cavalry,
56,"n, 4","exercitus, ūs",army,
56,"n, 4","impetus, ūs",attack,
56,"n, 4","metus, ūs",fear,
56,"n, 4","portus, ūs",harbor,
56,"n, 4","senātus, ūs",senate,
56,"n, 4","spīritus, ūs","breath, spirit",
58,"conj, postpositive",autem,however,
58,v,fēcērunt,made (they),
58,prep w/ abl,in,"in, on",with NO movement or motion
58,prep w/ acc,in,"in, onto, against, upon, on",with movement or motion
58,adv,nunc,now,
